observed_property,n_values_clean,min_clean,max_clean,lower_bound,upper_bound
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#AbrasiveParticleSize,1,36.75,36.75,17.375,56.125
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#AverageRemovalRate,1,64.3881,64.3881,31.194049999999997,97.58214999999998
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#BackingFilmUsage,203,9326.66666667,9532.5,9223.750000005,9635.416666665
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CarrierRotationSpeed,221,156.8,192.0,139.20000000000002,209.6
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CenterAirBagPressure,227,0.0,137.8125,-68.90625,206.71875
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CleanroomHumidity,1,45.0,45.0,21.5,68.5
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CleanroomTemperature,1,22.542,22.542,10.271,34.813
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ConditioningRatio,1,81.6,81.6,39.8,123.39999999999999
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ContactPressure,2,4.032,4.41,3.843,4.599
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#Downforce,2,174.72,191.1,166.53,199.29
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DresserTableUsage,219,2667.0,2675.5,2662.75,2679.75
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DresserUsage,210,535.185185185,547.777777778,528.8888888885001,554.0740740745
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DressingWaterStatus,223,0.0,1.0,-0.5,1.5
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#EdgeAirBagPressure,201,0.0,106.363636364,-53.181818182,159.545454546
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#FilmThickness,1,861.0,861.0,429.5,1292.5
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#IonicStrength,1,0.02,0.02,-0.99,1.03
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#MainOuterAirBagPressure,196,0.0,498.0,-249.0,747.0
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#MembraneUsage,197,110.592885375,113.033596838,109.3725296435,114.2539525695
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ParticleConcentration,1,1530000000000.0,1530000000000.0,764999999999.0,2295000000001.0
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PlatenRotationSpeed,208,0.0,263.026315789,-131.5131578945,394.53947368350003
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PolishingTableUsage,220,54.8148148148,341.481481481,-88.5185185183,484.81481481410003
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PressurizedChamberPressure,197,0.0,146.666666667,-73.3333333335,220.0000000005
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PressurizedSheetUsage,213,2798.0,2859.75,2767.125,2890.625
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#RetainingRingPressure,212,0.0,7066.8,-3533.4,10600.2
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#RippleAirBagPressure,222,0.0,20.0454545455,-10.02272727275,30.06818181825
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineA,208,0.0,26.25,-13.125,39.375
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineB,191,0.0,0.909090909091,-0.4545454545455,1.3636363636365
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineC,207,0.0,450.8,-225.4,676.2
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryPH,1,10.506,10.506,4.253,16.759
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SolidContent,1,13.125,13.125,5.5625,20.6875
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SurfaceRoughness,2,0.45,0.459,0.4455,0.4635
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#WaferRotationSpeed,205,0.0,34.8837209302,-17.4418604651,52.3255813953
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#WaferToWaferUniformity,2,3.1,3.162,3.069,3.1929999999999996
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ZetaPotential,2,-42.0,-40.32,-42.84,-39.480000000000004
